西西里的美丽传说, 8.2, https://maoyan.com/films/1284164,  剧情 ,         意大利,美国          ,  109分钟        , 2000-10-26意大利上映
让子弹飞, 8.5, https://maoyan.com/films/182,  剧情 ,         中国大陆,中国香港          ,  132分钟        , 2010-12-16中国大陆上映
本杰明·巴顿奇事, 8.8, https://maoyan.com/films/18318,  剧情 ,         美国          ,  166分钟        , 2008-12-25美国上映
阿凡达, 9.4, https://maoyan.com/films/243,  动作 ,         美国,英国          ,  162分钟        , 2010-01-04中国大陆上映
搏击俱乐部, 8.8, https://maoyan.com/films/1291,  剧情 ,         美国,德国          ,  139分钟        , 1999-09-21美国上映
飞屋环游记, 8.9, https://maoyan.com/films/614,  剧情 ,         美国          ,  96分钟        , 2009-08-04中国大陆上映
天使爱美丽, 8.4, https://maoyan.com/films/1314,  剧情 ,         法国,德国          ,  122分钟        , 2001-04-25法国上映
飞越疯人院, 8.8, https://maoyan.com/films/1322,  剧情 ,         美国          ,  133分钟        , 1975-11-19美国上映
心灵奇旅, 9.3, https://maoyan.com/films/553231,  动画 ,         美国          ,  101分钟        , 2020-12-25 12:00中国大陆上映
窃听风暴, 9.0, https://maoyan.com/films/23127,  剧情 ,         德国          ,  137分钟        , 2006-03-23德国上映
美国往事, 9.1, https://maoyan.com/films/1332,  剧情 ,         意大利,美国          ,  229分钟        , 2015-04-23中国大陆上映
乱世佳人, 9.1, https://maoyan.com/films/7431,  剧情 ,         美国          ,  238分钟        , 1939-12-15美国上映
大话西游之大圣娶亲, 8.8, https://maoyan.com/films/158,  喜剧 ,         中国大陆          ,  110分钟        , 2014-10-24中国大陆上映
美丽心灵, 8.8, https://maoyan.com/films/11473,  剧情 ,         美国          ,  135分钟        , 2001-12-13美国上映
一一, 8.9, https://maoyan.com/films/1383,  剧情 ,         中国台湾,日本          ,  173分钟        , 2017-07-28中国台湾上映
消失的爱人, 8.7, https://maoyan.com/films/78997,  剧情 ,         美国          ,  149分钟        , 2014-09-26美国上映
罗马假日, 9.1, https://maoyan.com/films/2641,  剧情 ,         美国          ,  118分钟        , 1953-08-27美国上映
蝴蝶效应, 8.7, https://maoyan.com/films/1368,  剧情 ,         美国,加拿大          ,  113分钟        , 2004-01-23美国上映
布达佩斯大饭店, 8.7, https://maoyan.com/films/78449,  剧情 ,         美国,德国,英国          ,  100分钟        , 2014-06-14中国大陆上映
